单位名称,证书编号,资质等级,行政区划,业务范围
河北省制图院,甲测资字1300296,甲级,河北,"甲级：测绘航空摄影：无人飞行器航摄；摄影测量与遥感；地理信息系统工程；工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、水利工程测量、线路与桥隧测量、矿山测量、工程测量监理；不动产测绘；海洋测绘：海域权属测绘、海岸地形测量、水深测量、水文观测、深度基准测量、海图编制、海洋测绘监理；地图编制：地形图、电子地图、真三维地图、其他专用地图；互联网地图服务。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、三角测量(三等以下)、水准测量(三等以下)、大地测量数据处理(相应于上述限额)；。***"
河北卓远地理信息系统工程服务有限公司,甲测资字1300638,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)。***"
秦皇岛市测绘大队,甲测资字1300278,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、工程测量监理；不动产测绘：地籍测绘。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、大地测量数据处理(相应于上述限额)；摄影测量与遥感：摄影测量与遥感外业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)；工程测量：变形形变与精密测量(一般精密设备安装。建筑面积在10万平方米以下且高度在100m以下的建筑。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)、地下管线测量(管线长度300km以下。)、矿山测量(矿区控制面积200平方公里以下。)；不动产测绘：房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)；互联网地图服务：地理位置定位、地理信息上传标注。***"
河北卓尔地理信息技术股份有限公司,甲测资字1300331,甲级,河北,"甲级：大地测量：卫星定位测量、全球导航卫星系统连续运行基准站网位置数据服务、水准测量、三角测量、大地测量数据处理；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：地理信息系统工程：地理信息系统工程监理(相应于上述限额。)；不动产测绘：不动产测绘监理(相应于上述限额。)；地图编制：地形图(省级及以下行政区域范围内。)、教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)；互联网地图服务：地理位置定位、地理信息上传标注。***"
化学工业第一勘察设计院有限公司,甲测资字1300217,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、矿山测量、工程测量监理。***
乙级：不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)。***"
核工业航测遥感中心,甲测资字1300172,甲级,河北,"甲级：摄影测量与遥感；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、三角测量(三等以下)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；工程测量：地下管线测量(管线长度300km以下。)；不动产测绘：房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘；海洋测绘：海域权属测绘、海岸地形测量(100平方公里以下。)、水深测量(100平方公里以下。)、水文观测(100平方公里以下。)；地图编制：地形图(省级及以下行政区域范围内。)、教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
廊坊市天星测绘有限公司,甲测资字1300604,甲级,河北,"甲级：测绘航空摄影：无人飞行器航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)。***"
石家庄石房房产测绘所,甲测资字1300656,甲级,河北,甲级：不动产测绘：地籍测绘、房产测绘。***
石家庄市勘察测绘设计研究院,甲测资字1300102,甲级,河北,"甲级：摄影测量与遥感：摄影测量与遥感外业；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、工程测量监理；地图编制：地形图、全国及地方政区地图、电子地图、真三维地图、其他专用地图。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、大地测量数据处理(相应于上述限额)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；互联网地图服务：地理位置定位、地理信息上传标注。***"
唐山经纬测绘工程有限公司,甲测资字1300566,甲级,河北,"甲级：测绘航空摄影：无人飞行器航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：海洋测绘：海域权属测绘、海岸地形测量(100平方公里以下。)、水深测量(100平方公里以下。)、水文观测(100平方公里以下。)。***"
中国兵器工业北方勘察设计研究院有限公司,甲测资字1300377,甲级,河北,"甲级：工程测量：控制测量、地形测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量、规划测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业。***"
正元地球物理有限责任公司(中国冶金地质总局地球物理勘查院),甲测资字1300037,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发、地理信息系统工程监理(相应于上述限额。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)。***"
中国煤炭地质总局水文物测队,甲测资字1300665,甲级,河北,甲级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
唐山中地地质工程公司,甲测资字1300359,甲级,河北,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、矿山测量、线路与桥隧测量；不动产测绘：地籍测绘。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、三角测量(三等以下)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业；工程测量：水利工程测量(不得承担特大型水利水电工程。)、地下管线测量(管线长度300km以下。)；不动产测绘：房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘；海洋测绘：海域权属测绘、海岸地形测量(100平方公里以下。)、水深测量(100平方公里以下。)、水文观测(100平方公里以下。)、海洋工程测量(100平方公里以下。)、扫海测量(100平方公里以下。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
中国建筑材料工业地质勘查中心河北总队,甲测资字1300111,甲级,河北,"甲级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；不动产测绘：不动产测绘监理(相应于上述限额。)。***"
中国二十二冶集团有限公司,甲测资字1300223,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理。***
乙级：不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)。***"
中国电建集团河北省电力勘测设计研究院有限公司,甲测资字1300154,甲级,河北,"甲级：工程测量。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘；海洋测绘：海域权属测绘、海岸地形测量(100平方公里以下。)、水深测量(100平方公里以下。)、水文观测(100平方公里以下。)、海洋工程测量(100平方公里以下。)、扫海测量(100平方公里以下。)。***"
中国冶金地质总局一局五二0队,甲测资字1300514,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：工程测量：工程测量监理(相应于上述限额。)；不动产测绘：不动产测绘监理(相应于上述限额。)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)。***"
中勘冶金勘察设计研究院有限责任公司,甲测资字1300181,甲级,河北,"甲级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发。***"
中佳勘察设计有限公司,甲测资字1300557,甲级,河北,"甲级：测绘航空摄影：无人飞行器航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、工程测量监理；不动产测绘：地籍测绘、房产测绘。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业。***"
中国煤炭地质总局物测队,甲测资字1300584,甲级,河北,甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设；工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、行政区域界线测绘。***
中国石油集团东方地球物理勘探有限责任公司,甲测资字1300232,甲级,河北,"甲级：大地测量：卫星定位测量、三角测量、重力测量；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量。***
乙级：大地测量：水准测量(三等以下)、大地测量数据处理(相应于上述限额)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：矿山测量(矿区控制面积200平方公里以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘；地图编制：地形图(省级及以下行政区域范围内。)、教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
中冀石化工程设计有限公司,甲测资字1300505,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理。***
乙级：不动产测绘：房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业。***"
中铁城际规划建设有限公司,甲测资字1300674,甲级,河北,甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量。***
中国石油管道局工程有限公司,甲测资字1300012,甲级,河北,"甲级：摄影测量与遥感：摄影测量与遥感内业、摄影测量与遥感外业；工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：变形形变与精密测量(一般精密设备安装。建筑面积在10万平方米以下且高度在100m以下的建筑。)。***"
山西华冶勘测工程技术有限公司,甲测资字1400277,甲级,山西,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：摄影测量与遥感：摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：工程测量监理(相应于上述限额。)；不动产测绘：不动产测绘监理(相应于上述限额。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
山西地宝能源有限公司,甲测资字1400135,甲级,山西,"甲级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发、地理信息数据采集；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)。***"
大同市勘察测绘院,甲测资字1400231,甲级,山西,"甲级：摄影测量与遥感；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、工程测量监理；不动产测绘：地籍测绘、行政区域界线测绘；地图编制：地形图、电子地图、真三维地图、其他专用地图。***
乙级：不动产测绘：房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)；地图编制：教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)；测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)、无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)。***"
山西华晋岩土工程勘察有限公司,甲测资字1400036,甲级,山西,"甲级：测绘航空摄影：无人飞行器航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业、摄影测量与遥感监理；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发、地理信息系统工程监理；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘、不动产测绘监理。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、三角测量(三等以下)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业、摄影测量与遥感监理；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发、地理信息系统工程监理(相应于上述限额。)；地图编制：地形图(省级及以下行政区域范围内。)、教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)；互联网地图服务：地理位置定位、地理信息上传标注。***"
山西迪奥普科技有限公司,甲测资字1400259,甲级,山西,"甲级：测绘航空摄影：一般航摄、无人飞行器航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业、摄影测量与遥感监理；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发、地理信息系统工程监理；工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘、不动产测绘监理。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)；地图编制：地形图(省级及以下行政区域范围内。)、教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)；互联网地图服务：地理位置定位、地理信息上传标注。***"
东方通用航空摄影有限公司,甲测资字1400090,甲级,山西,"甲级：测绘航空摄影：一般航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、市政工程测量、线路与桥隧测量、矿山测量。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘。***"
中铁十七局集团第三工程有限公司,甲测资字1300548,甲级,河北,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、矿山测量。***
乙级：不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)。***"
山西家豪测绘集团有限公司,甲测资字1400207,甲级,山西,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘、不动产测绘监理。***
乙级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；工程测量：工程测量监理(相应于上述限额。)、地下管线测量(管线长度300km以下。)；不动产测绘：不动产测绘监理(相应于上述限额。)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息软件开发。***"
山西省地图集编纂委员会办公室,甲测资字1400240,甲级,山西,"甲级：地图编制：地形图、教学地图、全国及地方政区地图、电子地图、真三维地图、其他专用地图。***
乙级：地理信息系统工程：地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)。***"
山西省地图院,甲测资字1400286,甲级,山西,"甲级：摄影测量与遥感；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发、地理信息系统工程监理；地图编制：地形图、电子地图、真三维地图、其他专用地图。***
乙级：工程测量：控制测量(三等以下。)、地形测量(1：500比例尺，30平方公里以下；1：1000比例尺，50平方公里以下；1：2000比例尺，80平方公里以下；1：5000比例尺，100平方公里以下；1：1万比例尺，200平方公里以下。)、规划测量(总建筑面积50万平方米以下；国家重点建设工程不得承担。)、建筑工程测量(建筑范围1平方公里以下，单个建筑物10万平方米以下。)、市政工程测量(特大城市一般道路、大中等城市主干道路、一般立交桥。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)、矿山测量(矿区控制面积200平方公里以下。)、工程测量监理(相应于上述限额。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、行政区域界线测绘、不动产测绘监理(相应于上述限额。)；互联网地图服务：地理位置定位、地理信息上传标注；地图编制：教学地图(省级及以下行政区域范围内。)、全国及地方政区地图(省级及以下行政区域范围内。)。***"
山西省第三地质工程勘察院,甲测资字1400054,甲级,山西,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、行政区域界线测绘。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
山西金瓯土地矿产咨询服务有限公司,甲测资字1400081,甲级,山西,"甲级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：工程测量监理(相应于上述限额。)。***"
